season,soil_moisture,temperature,humidity,rain_probability,time_of_day,soil_ec,action_state
Monsoon,528,26.4,87,0.57,18,2.32,0
Monsoon,306,28.7,92,0.56,10,2.71,0
Post-Monsoon,532,24.7,73,0.29,20,2.16,0
Post-Monsoon,527,26.7,78,0.2,20,2.4,0
Monsoon,460,26.7,85,0.77,22,2.85,0
Monsoon,943,23.0,90,0.78,1,2.63,0
Post-Monsoon,376,24.1,84,0.35,4,1.0,4
Monsoon,261,28.6,97,0.66,21,1.37,0
Monsoon,577,28.4,94,0.71,3,1.39,0
Pre-Monsoon,655,28.2,79,0.48,1,2.1,0
Post-Monsoon,282,25.4,71,0.28,19,2.86,0
Monsoon,628,26.0,90,0.88,19,1.51,0
Winter,530,13.3,71,0.01,16,1.89,0
Monsoon,650,26.8,98,0.59,19,1.76,0
Post-Monsoon,846,22.9,80,0.12,22,1.53,1
Monsoon,602,29.5,89,0.86,0,1.82,0
Winter,753,16.6,76,0.11,8,2.36,1
Monsoon,909,24.8,86,0.74,0,2.46,0
Monsoon,721,28.8,86,0.76,23,1.71,0
Pre-Monsoon,578,30.7,69,0.5,3,1.11,0
Pre-Monsoon,561,25.9,85,0.4,0,0.86,0
Post-Monsoon,433,24.0,77,0.31,11,1.66,0
Monsoon,278,24.2,87,0.9,11,2.15,0
Monsoon,697,22.9,96,0.61,9,1.46,0
Monsoon,553,24.6,92,0.88,21,0.91,0
Monsoon,632,29.1,88,0.96,18,1.67,0
Pre-Monsoon,741,26.2,84,0.29,8,2.15,1
Monsoon,460,27.5,90,0.67,10,2.97,0
Post-Monsoon,753,27.3,82,0.3,9,2.59,1
Monsoon,370,22.4,93,1.0,18,1.17,0
Pre-Monsoon,878,25.4,79,0.52,7,2.79,0
Monsoon,939,22.3,85,0.85,3,2.35,0
Monsoon,618,25.4,97,0.86,15,1.65,0
Monsoon,700,23.2,90,0.63,21,2.65,0
Post-Monsoon,914,20.7,71,0.18,4,1.64,1
Winter,764,21.3,79,0.08,1,2.88,2
Monsoon,746,27.1,94,0.63,22,0.9,0
Monsoon,305,23.1,96,0.85,23,1.4,0
Monsoon,396,22.1,86,0.94,18,1.44,0
Pre-Monsoon,947,32.3,63,0.13,0,2.14,1
Monsoon,477,28.9,95,0.76,0,2.78,0
Monsoon,423,24.5,95,0.74,6,1.6,0
Monsoon,715,25.5,86,0.62,10,2.95,0
Post-Monsoon,636,25.7,81,0.15,10,2.23,1
Post-Monsoon,745,24.8,78,0.18,6,1.8,1
Pre-Monsoon,449,26.4,79,0.28,19,2.61,0
Pre-Monsoon,701,30.9,72,0.24,20,1.66,1
Monsoon,733,27.3,97,0.79,23,2.51,0
Monsoon,449,22.9,95,0.52,11,1.14,0
Post-Monsoon,879,26.2,83,0.34,14,2.04,1
Monsoon,664,26.3,96,0.51,3,2.0,0
Winter,880,15.0,74,0.03,1,1.11,3
Monsoon,815,23.7,92,0.94,9,2.0,0
Monsoon,505,27.0,94,0.79,6,1.82,0
Monsoon,356,29.9,94,0.81,2,2.22,0
Pre-Monsoon,856,30.6,70,0.3,18,1.35,1
Post-Monsoon,776,18.1,72,0.35,1,1.49,1
Pre-Monsoon,914,31.7,75,0.43,14,2.46,0
Pre-Monsoon,525,28.3,84,0.59,0,1.49,0
Monsoon,368,25.4,91,0.63,1,0.96,0
Post-Monsoon,716,25.2,85,0.37,14,2.2,0
Pre-Monsoon,692,30.5,82,0.4,19,1.93,0
Pre-Monsoon,664,30.5,63,0.15,9,2.74,1
Monsoon,350,25.0,88,0.53,17,1.0,0
Winter,576,20.1,76,0.02,5,1.91,1
Post-Monsoon,405,24.5,72,0.17,10,1.95,0
Monsoon,855,25.0,89,0.97,5,1.21,0
Pre-Monsoon,389,29.2,76,0.47,5,2.13,0
Post-Monsoon,602,19.2,78,0.37,16,1.48,0
Pre-Monsoon,302,28.7,81,0.52,16,2.64,0
Monsoon,280,27.2,90,0.57,10,1.51,0
Monsoon,432,24.5,90,0.79,13,1.79,0
Monsoon,468,22.6,91,0.56,9,1.06,0
Pre-Monsoon,802,29.6,70,0.54,8,1.81,0
Monsoon,447,28.9,96,0.83,4,2.01,0
Monsoon,410,25.6,89,0.96,17,2.2,0
Post-Monsoon,818,18.9,83,0.29,5,1.18,3
Post-Monsoon,637,19.7,75,0.31,6,1.84,1
Monsoon,437,27.7,92,0.97,13,1.84,0
Monsoon,266,29.0,92,0.8,6,2.02,0
Monsoon,629,27.6,86,0.75,15,2.74,0
Monsoon,516,24.4,92,0.84,9,3.03,0
Monsoon,319,26.0,97,0.74,3,1.48,0
Pre-Monsoon,504,29.8,78,0.3,14,2.4,0
Post-Monsoon,948,21.8,73,0.26,14,2.56,1
Post-Monsoon,806,20.1,82,0.3,18,1.19,3
Monsoon,542,24.4,94,0.62,7,2.19,0
Winter,410,16.5,72,0.05,12,1.56,0
Monsoon,831,29.1,95,0.94,17,2.42,0
Monsoon,852,23.8,88,0.65,23,1.12,0
Monsoon,843,28.6,94,0.62,18,2.62,0
Monsoon,856,28.0,90,0.73,4,1.05,0
Winter,483,15.0,70,0.04,16,1.62,0
Monsoon,309,25.3,98,0.97,20,1.49,0
Post-Monsoon,343,24.9,74,0.25,15,2.0,0
Pre-Monsoon,607,31.9,76,0.26,12,2.51,1
Post-Monsoon,944,23.4,82,0.16,0,2.49,1
Post-Monsoon,289,19.5,74,0.3,2,1.69,0
Pre-Monsoon,789,32.0,83,0.52,11,1.74,0
Winter,381,14.5,73,0.11,23,1.01,4
Monsoon,902,27.4,88,0.94,10,1.29,0
Post-Monsoon,950,24.7,70,0.19,16,1.54,1
Post-Monsoon,895,20.9,73,0.28,6,1.08,3
Monsoon,332,25.4,94,0.81,2,2.54,0
Post-Monsoon,733,19.1,74,0.13,21,1.29,1
Pre-Monsoon,891,25.6,76,0.42,0,1.49,0
Monsoon,341,23.1,98,0.56,9,2.75,0
Winter,593,20.2,71,0.08,5,1.84,1
Post-Monsoon,591,21.3,74,0.26,18,1.68,1
Monsoon,581,23.3,94,0.91,0,1.85,0
Post-Monsoon,919,25.7,72,0.28,8,2.37,1
Monsoon,787,22.6,86,0.96,21,2.46,0
Monsoon,714,28.4,87,0.95,2,2.26,0
Monsoon,457,23.8,97,0.69,19,2.78,0
Winter,919,18.5,66,0.14,6,2.01,1
Monsoon,627,23.9,85,0.55,1,2.32,0
Pre-Monsoon,382,27.5,76,0.16,23,2.52,0
Winter,548,18.2,65,0.08,13,2.3,0
Post-Monsoon,608,22.1,80,0.28,4,2.3,1
Post-Monsoon,600,21.3,70,0.34,5,1.12,3
Post-Monsoon,647,22.3,71,0.25,5,1.41,1
Winter,651,12.1,72,0.11,15,1.71,1
Monsoon,612,25.9,96,0.86,12,3.08,0
Monsoon,363,28.0,97,0.82,5,1.82,0
Monsoon,450,27.2,90,0.98,3,1.87,0
Pre-Monsoon,422,25.5,67,0.48,1,1.48,0
Monsoon,356,25.8,85,0.69,20,2.3,0
Monsoon,582,28.7,98,0.9,3,1.25,0
Monsoon,292,27.3,87,0.59,14,1.56,0
Winter,461,19.2,77,0.08,10,2.25,0
Monsoon,754,25.4,88,0.94,9,1.6,0
Monsoon,831,26.1,92,0.94,5,2.18,0
Monsoon,500,28.4,96,0.83,4,3.0,0
Winter,465,19.7,79,0.01,23,2.79,0
Pre-Monsoon,364,27.8,77,0.12,3,2.99,0
Winter,903,16.4,71,0.1,9,1.99,1
Post-Monsoon,331,21.6,81,0.22,0,1.71,0
Winter,658,19.0,79,0.13,17,2.65,1
Monsoon,851,22.9,86,0.98,17,1.56,0
Winter,692,14.1,74,0.01,2,1.66,1
Post-Monsoon,364,20.2,75,0.24,10,2.55,0
Monsoon,611,28.0,86,0.97,4,1.98,0
Monsoon,704,29.7,86,0.83,20,2.33,0
Monsoon,474,23.6,97,0.53,21,1.11,0
Monsoon,352,23.0,95,0.93,6,1.97,0
Post-Monsoon,302,19.7,72,0.24,9,2.0,0
Monsoon,387,23.2,89,0.56,17,1.57,0
Monsoon,826,29.3,92,0.97,16,2.2,0
Post-Monsoon,292,25.2,77,0.23,8,2.93,0
Pre-Monsoon,533,28.1,81,0.46,21,1.35,0
Monsoon,529,23.6,88,0.99,16,2.21,0
Monsoon,497,24.7,96,0.64,13,1.44,0
Post-Monsoon,865,18.4,82,0.36,9,2.47,0
Post-Monsoon,782,20.4,79,0.34,18,1.8,1
Monsoon,877,22.7,96,0.97,23,1.88,0
Monsoon,636,24.6,88,0.91,17,1.27,0
Monsoon,689,27.6,91,0.63,4,2.91,0
Post-Monsoon,764,26.0,70,0.3,1,2.08,1
Post-Monsoon,705,25.5,80,0.1,6,1.85,1
Monsoon,534,28.0,97,0.52,17,1.02,0
Pre-Monsoon,813,29.0,60,0.58,14,3.03,0
Monsoon,348,28.8,89,0.71,1,2.95,0
Post-Monsoon,737,22.5,73,0.26,18,2.49,1
Winter,771,18.2,73,0.05,13,1.93,1
Monsoon,549,27.8,95,0.74,0,2.12,0
Winter,627,16.6,74,0.01,22,1.8,1
Monsoon,938,22.6,91,0.5,14,1.48,0
Winter,303,18.5,72,0.0,0,2.39,0
Pre-Monsoon,569,25.6,73,0.15,2,1.93,1
Monsoon,461,28.7,94,0.78,15,1.11,0
Winter,746,18.2,74,0.07,11,2.78,1
Monsoon,673,29.6,94,0.65,1,1.69,0
Pre-Monsoon,407,27.3,75,0.18,6,1.56,0
Monsoon,569,27.3,93,0.85,9,1.69,0
Post-Monsoon,665,20.5,80,0.14,21,1.66,1
Post-Monsoon,253,25.9,79,0.17,12,1.92,0
Winter,279,13.9,66,0.15,19,1.17,4
Pre-Monsoon,742,26.7,66,0.53,23,2.19,0
Post-Monsoon,709,28.0,80,0.3,15,2.72,1
Monsoon,345,25.3,90,0.97,2,1.72,0
Winter,383,16.9,67,0.03,4,1.23,0
Winter,267,16.5,70,0.11,8,1.65,0
Post-Monsoon,340,26.4,70,0.39,14,2.6,0
Monsoon,443,25.0,86,0.57,9,2.87,0
Post-Monsoon,860,21.5,75,0.11,19,1.57,1
Monsoon,521,25.6,95,0.73,8,1.5,0
Winter,779,19.0,72,0.0,10,2.48,1
Post-Monsoon,332,21.8,77,0.3,4,1.45,0
Monsoon,922,24.3,85,0.8,0,2.19,0
Post-Monsoon,798,23.5,73,0.21,20,1.1,3
Post-Monsoon,802,18.2,84,0.32,3,2.2,1
Pre-Monsoon,698,31.0,62,0.45,1,0.98,0
Monsoon,291,23.7,91,0.73,1,1.02,0
Monsoon,884,26.1,95,0.97,9,1.38,0
Winter,856,13.1,75,0.14,6,1.85,1
Monsoon,862,23.0,93,0.96,2,1.66,0
Winter,844,19.1,66,0.02,5,2.55,1
Post-Monsoon,364,25.1,83,0.22,17,1.98,0
Post-Monsoon,288,22.8,84,0.28,12,2.48,0
Post-Monsoon,566,27.5,81,0.1,6,1.23,1
Winter,366,21.5,77,0.12,22,2.5,0
Monsoon,416,23.5,86,0.81,18,1.33,0
Winter,935,14.9,73,0.04,18,1.44,1
Monsoon,486,27.5,93,0.53,18,2.54,0
Post-Monsoon,385,25.4,71,0.36,0,2.28,0
Monsoon,397,24.8,96,0.98,23,1.28,0
Monsoon,488,25.6,94,0.59,8,1.14,0
Pre-Monsoon,744,26.6,83,0.43,14,2.68,0
Monsoon,442,22.1,97,0.97,13,2.67,0
Pre-Monsoon,331,30.7,66,0.43,11,2.18,0
Post-Monsoon,855,27.9,82,0.3,10,1.18,3
Pre-Monsoon,605,32.1,68,0.16,9,1.86,1
Monsoon,855,24.6,92,0.9,10,1.65,0
Winter,942,18.7,65,0.05,22,3.19,2
Post-Monsoon,588,18.4,85,0.16,12,1.86,1
Monsoon,578,27.4,90,0.74,19,2.99,0
Monsoon,829,22.5,91,0.61,20,2.11,0
Monsoon,371,26.5,92,0.86,4,2.07,0
Monsoon,619,24.6,96,0.67,14,2.2,0
Pre-Monsoon,866,25.0,62,0.11,14,1.41,1
Pre-Monsoon,643,30.1,60,0.13,0,1.61,1
Monsoon,731,22.8,98,0.77,8,1.22,0
Pre-Monsoon,379,30.8,62,0.41,18,3.15,0
Monsoon,825,24.4,98,0.79,21,1.12,0
Monsoon,416,22.9,88,0.83,3,1.47,0
Monsoon,767,22.9,86,0.55,13,2.45,0
Post-Monsoon,828,26.3,71,0.26,11,1.82,1
Post-Monsoon,625,22.0,84,0.27,5,2.03,1
Pre-Monsoon,379,28.6,67,0.24,12,1.68,0
Monsoon,449,25.4,86,0.82,7,2.83,0
Post-Monsoon,571,26.6,85,0.36,1,1.09,0
Winter,637,20.8,65,0.14,2,2.37,1
Monsoon,597,23.0,91,0.66,20,1.5,0
Winter,692,14.9,73,0.03,17,1.62,1
Monsoon,459,26.9,94,0.82,4,2.34,0
Winter,835,22.0,80,0.04,2,2.63,1
Monsoon,605,22.4,89,0.64,19,2.08,0
Pre-Monsoon,413,32.8,70,0.44,5,2.22,0
Winter,624,12.9,72,0.03,11,2.29,1
Monsoon,518,29.8,85,0.89,15,1.95,0
Post-Monsoon,804,25.7,75,0.11,1,2.53,1
Monsoon,398,29.9,97,0.88,2,1.54,0
Monsoon,562,24.2,85,0.98,13,1.88,0
Winter,568,15.0,66,0.01,9,1.72,1
Winter,790,19.8,66,0.1,3,1.65,1
Winter,660,19.9,77,0.04,6,1.14,3
Monsoon,733,23.9,88,0.77,16,2.41,0
Monsoon,599,28.3,88,0.85,20,1.99,0
Post-Monsoon,761,26.4,77,0.12,1,2.07,1
Monsoon,288,24.8,95,0.69,0,2.9,0
Post-Monsoon,784,21.2,78,0.22,15,1.81,1
Monsoon,365,26.0,93,0.92,10,1.25,0
Monsoon,777,24.5,97,0.92,2,1.26,0
Monsoon,865,22.7,90,0.68,19,1.67,0
Monsoon,940,26.4,97,0.75,5,1.13,0
Pre-Monsoon,350,25.7,85,0.12,16,2.38,0
Winter,655,20.7,71,0.05,0,1.2,1
Winter,727,12.9,72,0.15,22,1.07,3
Monsoon,432,23.6,92,0.95,13,1.36,0
Post-Monsoon,833,18.8,81,0.17,21,2.2,1
Post-Monsoon,746,18.6,73,0.2,17,1.27,1
