season_Monsoon,season_Post-Monsoon,season_Pre-Monsoon,season_Winter,soil_moisture,temperature,humidity,rain_probability,time_of_day,soil_ec
0.0,0.0,1.0,0.0,422.0,25.5,67.0,0.48,1.0,1.48
1.0,0.0,0.0,0.0,711.0,27.9,97.0,0.94,21.0,3.01
0.0,0.0,1.0,0.0,292.0,30.4,63.0,0.52,18.0,2.8
1.0,0.0,0.0,0.0,434.0,25.8,93.0,0.64,5.0,1.68
0.0,0.0,1.0,0.0,465.0,28.9,83.0,0.48,10.0,1.82
1.0,0.0,0.0,0.0,264.0,29.8,92.0,0.82,16.0,1.19
0.0,0.0,1.0,0.0,556.0,27.1,75.0,0.42,20.0,1.32
0.0,1.0,0.0,0.0,641.0,18.1,75.0,0.3,3.0,2.37
0.0,0.0,1.0,0.0,542.0,28.9,85.0,0.38,10.0,1.57
1.0,0.0,0.0,0.0,541.0,27.4,95.0,0.71,3.0,1.2
0.0,0.0,0.0,1.0,856.0,12.5,80.0,0.07,18.0,3.37
1.0,0.0,0.0,0.0,462.0,27.4,95.0,0.77,5.0,2.72
0.0,1.0,0.0,0.0,861.0,18.9,81.0,0.14,15.0,3.04
0.0,1.0,0.0,0.0,492.0,24.4,72.0,0.12,7.0,1.9
1.0,0.0,0.0,0.0,851.0,22.9,86.0,0.98,17.0,1.56
1.0,0.0,0.0,0.0,940.0,26.4,97.0,0.75,5.0,1.13
0.0,0.0,1.0,0.0,813.0,29.0,60.0,0.58,14.0,3.03
1.0,0.0,0.0,0.0,257.0,28.1,90.0,0.52,6.0,1.99
0.0,0.0,1.0,0.0,848.0,30.6,76.0,0.58,2.0,2.9
1.0,0.0,0.0,0.0,386.0,28.1,93.0,0.7,18.0,2.37
0.0,1.0,0.0,0.0,465.0,22.3,73.0,0.15,11.0,1.56
1.0,0.0,0.0,0.0,665.0,29.7,92.0,0.79,20.0,2.92
0.0,0.0,1.0,0.0,834.0,26.4,62.0,0.49,18.0,2.58
0.0,0.0,0.0,1.0,637.0,14.9,73.0,0.04,12.0,2.51
1.0,0.0,0.0,0.0,530.0,22.8,88.0,0.74,6.0,2.15
0.0,0.0,0.0,1.0,904.0,17.4,80.0,0.09,14.0,1.38
0.0,0.0,1.0,0.0,380.0,25.4,85.0,0.51,5.0,1.81
1.0,0.0,0.0,0.0,849.0,28.9,95.0,0.95,23.0,1.4
1.0,0.0,0.0,0.0,251.0,23.6,94.0,0.66,12.0,2.48
0.0,1.0,0.0,0.0,742.0,24.0,71.0,0.14,5.0,1.64
0.0,1.0,0.0,0.0,501.0,25.7,77.0,0.19,14.0,2.41
0.0,1.0,0.0,0.0,350.0,25.7,79.0,0.3,12.0,3.19
0.0,0.0,0.0,1.0,429.0,16.5,74.0,0.1,22.0,2.5
0.0,0.0,0.0,1.0,600.0,17.1,71.0,0.04,22.0,1.56
0.0,1.0,0.0,0.0,314.0,24.8,77.0,0.1,2.0,1.59
0.0,0.0,1.0,0.0,689.0,29.7,82.0,0.49,1.0,2.82
0.0,1.0,0.0,0.0,616.0,19.7,74.0,0.35,23.0,1.12
0.0,0.0,1.0,0.0,819.0,26.5,76.0,0.58,16.0,1.91
1.0,0.0,0.0,0.0,268.0,29.5,95.0,0.76,15.0,2.0
1.0,0.0,0.0,0.0,636.0,22.5,90.0,1.0,21.0,2.41
0.0,0.0,1.0,0.0,898.0,28.3,69.0,0.33,11.0,2.32
0.0,1.0,0.0,0.0,942.0,25.3,71.0,0.17,21.0,2.43
1.0,0.0,0.0,0.0,886.0,29.1,85.0,0.98,17.0,2.84
1.0,0.0,0.0,0.0,286.0,27.3,87.0,0.99,17.0,2.31
0.0,0.0,1.0,0.0,651.0,30.6,76.0,0.37,22.0,2.62
0.0,0.0,0.0,1.0,267.0,16.5,70.0,0.11,8.0,1.65
1.0,0.0,0.0,0.0,422.0,23.4,95.0,0.78,7.0,1.78
1.0,0.0,0.0,0.0,882.0,22.0,92.0,0.53,22.0,2.04
0.0,1.0,0.0,0.0,772.0,25.7,79.0,0.11,1.0,2.16
0.0,1.0,0.0,0.0,460.0,27.6,83.0,0.15,13.0,2.88
1.0,0.0,0.0,0.0,344.0,23.0,98.0,0.54,5.0,2.9
0.0,0.0,1.0,0.0,399.0,30.7,82.0,0.41,8.0,1.66
0.0,0.0,0.0,1.0,258.0,16.1,74.0,0.09,9.0,2.09
0.0,0.0,1.0,0.0,405.0,25.3,64.0,0.11,19.0,1.66
1.0,0.0,0.0,0.0,449.0,28.2,86.0,0.78,17.0,2.63
0.0,0.0,1.0,0.0,657.0,28.2,61.0,0.43,16.0,3.19
1.0,0.0,0.0,0.0,565.0,24.7,86.0,0.59,5.0,2.08
1.0,0.0,0.0,0.0,338.0,23.3,94.0,0.76,9.0,1.33
1.0,0.0,0.0,0.0,348.0,26.8,95.0,0.98,17.0,1.71
0.0,0.0,1.0,0.0,538.0,25.3,83.0,0.46,13.0,1.55
0.0,0.0,1.0,0.0,625.0,31.1,70.0,0.48,15.0,1.18
0.0,0.0,1.0,0.0,600.0,26.6,64.0,0.19,2.0,2.43
1.0,0.0,0.0,0.0,689.0,27.6,91.0,0.63,4.0,2.91
1.0,0.0,0.0,0.0,865.0,24.0,97.0,0.73,4.0,2.2
0.0,0.0,1.0,0.0,584.0,25.8,60.0,0.21,18.0,1.91
0.0,0.0,1.0,0.0,741.0,26.2,84.0,0.29,8.0,2.15
0.0,0.0,0.0,1.0,923.0,13.7,77.0,0.13,23.0,2.51
0.0,0.0,1.0,0.0,482.0,32.8,67.0,0.42,0.0,2.39
1.0,0.0,0.0,0.0,261.0,23.3,87.0,0.65,14.0,2.9
0.0,1.0,0.0,0.0,379.0,21.1,82.0,0.11,23.0,1.33
0.0,0.0,0.0,1.0,399.0,19.2,78.0,0.04,19.0,1.0
0.0,0.0,1.0,0.0,828.0,26.4,79.0,0.14,7.0,2.17
0.0,1.0,0.0,0.0,411.0,18.0,75.0,0.2,21.0,2.28
1.0,0.0,0.0,0.0,727.0,27.8,89.0,0.64,19.0,0.98
0.0,0.0,1.0,0.0,459.0,32.4,75.0,0.35,3.0,1.96
1.0,0.0,0.0,0.0,764.0,24.3,95.0,0.74,14.0,2.21
0.0,1.0,0.0,0.0,608.0,22.1,80.0,0.28,4.0,2.3
0.0,0.0,1.0,0.0,420.0,25.3,83.0,0.22,13.0,1.25
0.0,1.0,0.0,0.0,846.0,22.8,82.0,0.24,15.0,0.85
1.0,0.0,0.0,0.0,864.0,27.8,96.0,0.97,5.0,1.48
0.0,1.0,0.0,0.0,553.0,27.8,81.0,0.18,4.0,1.68
1.0,0.0,0.0,0.0,568.0,28.9,92.0,0.84,8.0,2.03
0.0,0.0,1.0,0.0,679.0,30.1,62.0,0.25,19.0,2.26
1.0,0.0,0.0,0.0,710.0,22.3,89.0,0.97,20.0,2.14
1.0,0.0,0.0,0.0,737.0,24.7,87.0,0.79,10.0,1.14
0.0,0.0,0.0,1.0,866.0,21.6,72.0,0.01,11.0,2.2
0.0,0.0,0.0,1.0,861.0,13.9,78.0,0.08,11.0,2.72
0.0,0.0,1.0,0.0,848.0,31.0,61.0,0.23,0.0,0.83
0.0,0.0,1.0,0.0,605.0,30.2,61.0,0.56,8.0,2.52
1.0,0.0,0.0,0.0,449.0,25.8,87.0,0.75,13.0,2.42
1.0,0.0,0.0,0.0,257.0,28.8,92.0,0.65,2.0,1.88
1.0,0.0,0.0,0.0,566.0,27.1,92.0,0.86,3.0,1.37
0.0,1.0,0.0,0.0,735.0,24.0,75.0,0.35,21.0,1.62
1.0,0.0,0.0,0.0,262.0,26.6,89.0,0.78,12.0,1.97
0.0,1.0,0.0,0.0,724.0,19.0,81.0,0.27,0.0,2.98
0.0,0.0,1.0,0.0,598.0,29.2,70.0,0.44,18.0,1.81
0.0,0.0,1.0,0.0,351.0,31.9,85.0,0.58,10.0,1.34
0.0,0.0,1.0,0.0,327.0,32.0,64.0,0.27,15.0,1.24
1.0,0.0,0.0,0.0,448.0,27.2,95.0,0.73,5.0,2.08
0.0,0.0,1.0,0.0,571.0,27.1,72.0,0.22,23.0,2.85
1.0,0.0,0.0,0.0,776.0,24.8,86.0,0.97,22.0,1.03
0.0,0.0,0.0,1.0,710.0,15.8,65.0,0.06,5.0,2.02
1.0,0.0,0.0,0.0,807.0,29.7,97.0,0.7,9.0,2.74
0.0,1.0,0.0,0.0,674.0,18.3,84.0,0.15,12.0,1.24
1.0,0.0,0.0,0.0,495.0,24.0,97.0,0.59,3.0,1.31
0.0,1.0,0.0,0.0,679.0,28.0,80.0,0.29,13.0,2.96
0.0,0.0,1.0,0.0,771.0,26.6,83.0,0.49,15.0,1.24
0.0,1.0,0.0,0.0,750.0,26.3,75.0,0.16,0.0,2.58
1.0,0.0,0.0,0.0,733.0,27.3,91.0,0.85,15.0,2.16
0.0,0.0,0.0,1.0,344.0,13.1,70.0,0.09,14.0,1.72
1.0,0.0,0.0,0.0,714.0,28.0,94.0,0.66,7.0,2.22
1.0,0.0,0.0,0.0,863.0,26.2,91.0,0.81,9.0,1.98
0.0,0.0,0.0,1.0,417.0,20.9,80.0,0.04,2.0,1.91
0.0,0.0,0.0,1.0,885.0,17.3,72.0,0.11,22.0,2.13
0.0,1.0,0.0,0.0,388.0,25.5,74.0,0.37,11.0,2.12
0.0,1.0,0.0,0.0,742.0,19.3,70.0,0.25,0.0,2.64
1.0,0.0,0.0,0.0,491.0,28.7,93.0,0.91,15.0,1.73
0.0,0.0,1.0,0.0,569.0,27.8,79.0,0.47,2.0,1.78
1.0,0.0,0.0,0.0,854.0,25.1,86.0,0.72,4.0,2.53
0.0,0.0,0.0,1.0,686.0,19.0,78.0,0.01,14.0,1.11
1.0,0.0,0.0,0.0,883.0,26.6,96.0,0.54,3.0,2.01
0.0,1.0,0.0,0.0,782.0,20.4,79.0,0.34,18.0,1.8
0.0,1.0,0.0,0.0,643.0,18.4,78.0,0.37,23.0,1.44
1.0,0.0,0.0,0.0,658.0,28.0,98.0,0.9,0.0,2.46
1.0,0.0,0.0,0.0,940.0,27.8,93.0,0.6,6.0,2.33
0.0,0.0,0.0,1.0,900.0,17.1,74.0,0.05,8.0,1.31
1.0,0.0,0.0,0.0,935.0,27.9,89.0,0.84,13.0,1.87
1.0,0.0,0.0,0.0,409.0,22.8,95.0,0.55,12.0,1.51
0.0,0.0,1.0,0.0,802.0,29.6,70.0,0.54,8.0,1.81
0.0,0.0,1.0,0.0,400.0,32.7,83.0,0.36,14.0,2.13
0.0,0.0,0.0,1.0,548.0,18.3,74.0,0.0,21.0,1.09
1.0,0.0,0.0,0.0,601.0,22.7,85.0,0.84,5.0,1.49
1.0,0.0,0.0,0.0,877.0,22.7,96.0,0.97,23.0,1.88
0.0,0.0,0.0,1.0,943.0,20.8,73.0,0.11,19.0,1.58
0.0,1.0,0.0,0.0,717.0,27.4,78.0,0.32,21.0,1.1
1.0,0.0,0.0,0.0,523.0,26.6,94.0,0.66,15.0,2.61
1.0,0.0,0.0,0.0,387.0,24.1,87.0,0.81,22.0,2.84
1.0,0.0,0.0,0.0,432.0,27.1,90.0,0.72,14.0,2.63
0.0,1.0,0.0,0.0,510.0,22.9,78.0,0.33,7.0,2.13
0.0,0.0,1.0,0.0,797.0,32.8,67.0,0.55,20.0,1.86
0.0,1.0,0.0,0.0,873.0,27.3,80.0,0.39,17.0,2.22
1.0,0.0,0.0,0.0,509.0,24.7,93.0,0.51,9.0,2.27
0.0,1.0,0.0,0.0,454.0,20.1,71.0,0.36,18.0,1.91
0.0,1.0,0.0,0.0,418.0,27.4,76.0,0.17,19.0,1.33
0.0,0.0,1.0,0.0,470.0,32.4,72.0,0.25,14.0,0.83
0.0,0.0,1.0,0.0,480.0,25.2,81.0,0.32,12.0,0.93
1.0,0.0,0.0,0.0,404.0,29.6,94.0,0.89,18.0,1.86
1.0,0.0,0.0,0.0,558.0,22.0,92.0,0.81,17.0,1.62
1.0,0.0,0.0,0.0,794.0,28.4,86.0,0.74,12.0,2.42
0.0,1.0,0.0,0.0,825.0,25.5,75.0,0.39,4.0,1.54
0.0,0.0,1.0,0.0,657.0,25.1,68.0,0.38,18.0,2.11
0.0,0.0,1.0,0.0,875.0,26.3,73.0,0.33,7.0,1.3
1.0,0.0,0.0,0.0,461.0,29.6,95.0,0.52,12.0,1.58
0.0,0.0,1.0,0.0,557.0,32.9,84.0,0.13,17.0,2.92
1.0,0.0,0.0,0.0,279.0,25.0,86.0,0.76,19.0,2.0
0.0,0.0,1.0,0.0,440.0,31.7,78.0,0.34,23.0,2.29
0.0,0.0,0.0,1.0,920.0,13.5,79.0,0.06,17.0,1.41
1.0,0.0,0.0,0.0,523.0,27.4,87.0,0.61,7.0,1.36
0.0,0.0,1.0,0.0,560.0,27.4,66.0,0.38,3.0,2.39
0.0,1.0,0.0,0.0,861.0,26.5,85.0,0.1,20.0,1.46
0.0,1.0,0.0,0.0,532.0,21.3,78.0,0.38,5.0,1.53
1.0,0.0,0.0,0.0,310.0,26.5,96.0,0.83,13.0,2.8
1.0,0.0,0.0,0.0,285.0,22.4,92.0,0.63,17.0,1.5
1.0,0.0,0.0,0.0,469.0,24.7,91.0,0.53,6.0,1.06
1.0,0.0,0.0,0.0,811.0,29.8,88.0,0.77,10.0,1.04
1.0,0.0,0.0,0.0,472.0,22.8,88.0,0.91,13.0,2.39
1.0,0.0,0.0,0.0,832.0,27.3,86.0,0.56,0.0,1.47
1.0,0.0,0.0,0.0,251.0,27.6,96.0,0.93,3.0,2.59
0.0,1.0,0.0,0.0,589.0,25.4,85.0,0.17,22.0,1.33
0.0,0.0,0.0,1.0,256.0,17.9,71.0,0.02,22.0,1.41
0.0,0.0,1.0,0.0,849.0,29.9,74.0,0.12,19.0,2.31
0.0,1.0,0.0,0.0,395.0,24.0,71.0,0.2,15.0,1.56
1.0,0.0,0.0,0.0,298.0,28.2,89.0,0.91,19.0,1.51
0.0,1.0,0.0,0.0,366.0,19.1,82.0,0.28,5.0,1.08
1.0,0.0,0.0,0.0,306.0,26.8,89.0,0.87,5.0,1.34
1.0,0.0,0.0,0.0,915.0,24.9,98.0,0.68,12.0,1.75
1.0,0.0,0.0,0.0,271.0,28.1,94.0,0.6,9.0,1.51
1.0,0.0,0.0,0.0,265.0,23.5,85.0,0.96,9.0,2.0
1.0,0.0,0.0,0.0,749.0,22.5,96.0,0.82,7.0,2.65
1.0,0.0,0.0,0.0,736.0,29.0,94.0,0.97,5.0,1.61
0.0,1.0,0.0,0.0,414.0,27.4,78.0,0.25,19.0,1.42
0.0,0.0,1.0,0.0,643.0,29.4,73.0,0.2,4.0,2.72
1.0,0.0,0.0,0.0,293.0,25.5,87.0,0.58,19.0,1.6
0.0,0.0,1.0,0.0,760.0,32.1,81.0,0.42,7.0,1.12
1.0,0.0,0.0,0.0,813.0,29.8,94.0,0.6,12.0,1.68
0.0,0.0,0.0,1.0,686.0,20.4,80.0,0.03,0.0,2.85
1.0,0.0,0.0,0.0,878.0,23.3,86.0,0.83,4.0,2.69
0.0,0.0,0.0,1.0,862.0,17.4,75.0,0.05,2.0,1.7
0.0,0.0,1.0,0.0,285.0,27.0,78.0,0.16,9.0,1.84
1.0,0.0,0.0,0.0,741.0,28.2,97.0,0.61,10.0,2.42
0.0,0.0,0.0,1.0,358.0,14.1,77.0,0.07,4.0,1.16
0.0,1.0,0.0,0.0,370.0,19.4,80.0,0.35,5.0,2.9
1.0,0.0,0.0,0.0,464.0,28.9,95.0,0.78,3.0,2.28
0.0,0.0,1.0,0.0,742.0,26.7,66.0,0.53,23.0,2.19
0.0,0.0,1.0,0.0,390.0,28.3,60.0,0.27,6.0,1.88
0.0,0.0,0.0,1.0,737.0,17.3,69.0,0.13,11.0,2.15
1.0,0.0,0.0,0.0,537.0,24.1,90.0,0.81,20.0,2.38
0.0,0.0,1.0,0.0,410.0,27.8,77.0,0.48,22.0,1.5
0.0,1.0,0.0,0.0,395.0,23.1,85.0,0.4,16.0,1.48
0.0,0.0,0.0,1.0,825.0,14.6,66.0,0.01,22.0,2.76
1.0,0.0,0.0,0.0,800.0,25.4,90.0,0.9,19.0,1.49
1.0,0.0,0.0,0.0,530.0,28.5,91.0,0.59,5.0,1.21
0.0,0.0,1.0,0.0,394.0,26.9,66.0,0.55,10.0,1.71
0.0,0.0,0.0,1.0,321.0,16.3,77.0,0.01,11.0,1.55
0.0,0.0,1.0,0.0,867.0,25.7,60.0,0.2,13.0,1.52
1.0,0.0,0.0,0.0,582.0,28.7,98.0,0.9,3.0,1.25
0.0,1.0,0.0,0.0,373.0,23.1,85.0,0.14,6.0,2.43
0.0,0.0,1.0,0.0,362.0,27.7,77.0,0.36,3.0,1.68
1.0,0.0,0.0,0.0,536.0,22.1,94.0,0.88,6.0,2.63
0.0,0.0,0.0,1.0,829.0,16.8,77.0,0.01,15.0,1.18
0.0,1.0,0.0,0.0,544.0,19.7,83.0,0.27,23.0,1.47
1.0,0.0,0.0,0.0,572.0,23.0,91.0,0.77,18.0,1.69
1.0,0.0,0.0,0.0,385.0,29.1,92.0,0.81,16.0,2.05
0.0,0.0,0.0,1.0,724.0,15.8,79.0,0.0,19.0,1.21
0.0,0.0,1.0,0.0,736.0,29.6,65.0,0.12,1.0,2.69
0.0,1.0,0.0,0.0,322.0,25.9,70.0,0.21,20.0,1.2
0.0,0.0,0.0,1.0,477.0,17.1,68.0,0.02,2.0,2.14
1.0,0.0,0.0,0.0,807.0,23.8,97.0,0.72,7.0,2.64
0.0,1.0,0.0,0.0,882.0,21.5,77.0,0.24,12.0,1.78
1.0,0.0,0.0,0.0,770.0,25.6,92.0,0.99,12.0,2.87
0.0,0.0,0.0,1.0,271.0,16.0,79.0,0.01,23.0,2.18
1.0,0.0,0.0,0.0,292.0,25.7,94.0,0.67,7.0,1.52
0.0,1.0,0.0,0.0,709.0,21.2,81.0,0.23,5.0,2.74
1.0,0.0,0.0,0.0,593.0,24.9,94.0,0.54,18.0,3.1
0.0,1.0,0.0,0.0,799.0,18.1,82.0,0.39,3.0,1.96
0.0,0.0,0.0,1.0,872.0,13.3,73.0,0.04,20.0,1.41
1.0,0.0,0.0,0.0,267.0,23.2,98.0,0.94,2.0,2.02
0.0,0.0,1.0,0.0,564.0,27.7,78.0,0.31,15.0,1.85
0.0,1.0,0.0,0.0,463.0,21.3,75.0,0.31,2.0,2.74
0.0,0.0,0.0,1.0,264.0,17.5,76.0,0.08,1.0,2.5
1.0,0.0,0.0,0.0,862.0,28.9,90.0,0.55,14.0,0.91
1.0,0.0,0.0,0.0,871.0,26.8,90.0,0.5,4.0,1.16
0.0,1.0,0.0,0.0,828.0,26.3,71.0,0.26,11.0,1.82
1.0,0.0,0.0,0.0,634.0,27.6,90.0,0.93,22.0,1.08
0.0,1.0,0.0,0.0,656.0,20.7,73.0,0.26,22.0,1.02
0.0,0.0,1.0,0.0,541.0,30.3,66.0,0.37,3.0,2.33
0.0,1.0,0.0,0.0,633.0,25.3,70.0,0.26,6.0,1.38
0.0,0.0,1.0,0.0,664.0,32.3,85.0,0.25,10.0,1.81
0.0,0.0,0.0,1.0,366.0,21.5,77.0,0.12,22.0,2.5
1.0,0.0,0.0,0.0,465.0,27.6,95.0,0.53,14.0,1.27
0.0,0.0,1.0,0.0,472.0,30.4,61.0,0.54,15.0,1.89
1.0,0.0,0.0,0.0,771.0,24.1,90.0,0.55,19.0,1.52
0.0,0.0,1.0,0.0,439.0,28.7,66.0,0.24,8.0,1.18
1.0,0.0,0.0,0.0,495.0,25.2,96.0,0.6,22.0,2.61
0.0,0.0,0.0,1.0,508.0,21.6,80.0,0.12,22.0,1.55
0.0,0.0,0.0,1.0,726.0,14.8,80.0,0.04,6.0,1.37
0.0,0.0,0.0,1.0,289.0,19.5,79.0,0.14,3.0,1.7
1.0,0.0,0.0,0.0,322.0,26.8,97.0,0.61,3.0,2.73
0.0,0.0,1.0,0.0,934.0,32.7,69.0,0.17,12.0,1.78
0.0,1.0,0.0,0.0,424.0,26.9,85.0,0.21,11.0,2.87
1.0,0.0,0.0,0.0,936.0,23.3,92.0,0.57,8.0,1.65
0.0,0.0,1.0,0.0,273.0,32.8,62.0,0.52,1.0,1.93
1.0,0.0,0.0,0.0,524.0,24.4,86.0,0.66,1.0,1.36
0.0,1.0,0.0,0.0,510.0,27.5,85.0,0.32,4.0,1.04
0.0,0.0,1.0,0.0,866.0,25.0,62.0,0.11,14.0,1.41
0.0,1.0,0.0,0.0,436.0,18.3,74.0,0.4,2.0,1.18
0.0,0.0,0.0,1.0,746.0,18.3,72.0,0.14,11.0,1.36
1.0,0.0,0.0,0.0,803.0,29.8,97.0,0.96,3.0,1.39
0.0,0.0,0.0,1.0,874.0,16.2,73.0,0.01,4.0,2.63
0.0,1.0,0.0,0.0,818.0,21.7,77.0,0.28,8.0,2.55
0.0,0.0,0.0,1.0,788.0,18.6,76.0,0.12,15.0,2.14
0.0,0.0,1.0,0.0,896.0,32.3,65.0,0.55,20.0,2.31
0.0,0.0,1.0,0.0,260.0,31.1,83.0,0.3,4.0,1.29
0.0,0.0,0.0,1.0,494.0,19.9,66.0,0.01,10.0,1.64
1.0,0.0,0.0,0.0,879.0,29.4,94.0,0.75,8.0,2.38
0.0,0.0,0.0,1.0,757.0,15.3,77.0,0.08,12.0,2.33
1.0,0.0,0.0,0.0,340.0,25.3,95.0,0.61,21.0,1.97
1.0,0.0,0.0,0.0,649.0,24.5,92.0,0.98,8.0,2.98
0.0,0.0,1.0,0.0,630.0,31.9,63.0,0.59,18.0,1.6
0.0,0.0,0.0,1.0,597.0,14.3,72.0,0.04,9.0,2.33
1.0,0.0,0.0,0.0,541.0,24.9,86.0,0.8,14.0,2.05
0.0,1.0,0.0,0.0,561.0,19.4,76.0,0.3,6.0,1.57
1.0,0.0,0.0,0.0,841.0,25.8,94.0,0.74,21.0,1.49
1.0,0.0,0.0,0.0,819.0,23.3,87.0,0.68,19.0,1.41
0.0,1.0,0.0,0.0,685.0,24.0,70.0,0.32,12.0,2.35
1.0,0.0,0.0,0.0,744.0,28.8,93.0,0.76,2.0,1.34
1.0,0.0,0.0,0.0,854.0,22.9,93.0,0.97,10.0,1.03
1.0,0.0,0.0,0.0,449.0,24.0,90.0,0.56,13.0,1.68
0.0,1.0,0.0,0.0,799.0,22.0,83.0,0.26,20.0,1.26
1.0,0.0,0.0,0.0,814.0,22.6,90.0,0.51,5.0,2.61
0.0,0.0,0.0,1.0,543.0,14.3,67.0,0.04,8.0,2.12
0.0,0.0,1.0,0.0,577.0,26.3,67.0,0.44,18.0,1.6
1.0,0.0,0.0,0.0,416.0,28.1,86.0,0.92,14.0,1.84
1.0,0.0,0.0,0.0,470.0,26.9,91.0,0.52,13.0,2.4
0.0,0.0,1.0,0.0,716.0,31.3,69.0,0.52,4.0,1.48
0.0,0.0,1.0,0.0,322.0,29.8,81.0,0.35,11.0,1.23
0.0,1.0,0.0,0.0,362.0,25.0,78.0,0.38,2.0,3.05
1.0,0.0,0.0,0.0,690.0,29.9,96.0,0.95,5.0,1.3
0.0,0.0,0.0,1.0,584.0,16.6,73.0,0.12,2.0,1.1
1.0,0.0,0.0,0.0,498.0,28.6,89.0,0.88,4.0,2.65
0.0,0.0,0.0,1.0,558.0,21.2,73.0,0.1,11.0,1.72
0.0,1.0,0.0,0.0,286.0,27.7,85.0,0.38,10.0,2.95
1.0,0.0,0.0,0.0,700.0,25.6,88.0,0.54,16.0,1.27
0.0,1.0,0.0,0.0,872.0,18.1,78.0,0.15,8.0,1.86
1.0,0.0,0.0,0.0,507.0,23.8,97.0,0.99,11.0,1.47
